알바명,알바설명,지역,지역세부,급여종류,금액,시간,주소
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",대구,중구,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97438965
(주)한성엠에스,[12/16~20 주간] 콤프케이스 생산 단기 아르바이트(12/27지급),경남,창원시,일급,100000,08:00~19:30,http://www.alba.co.kr/job/Detail.asp?adid=97436358
(주)이학,이학갈비 연수점 대학생 아르바이트,인천,연수구,시급,8350,12:00~21:00,http://www.alba.co.kr/job/Detail.asp?adid=97431487
호텔신라,"[시급10,308원] 신라호텔 설특판 콜센터 근무자 모집(주휴포함)",서울,중구,시급,10308,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97360731
호텔신라,"[시급10,308원] 신라호텔 설특판 콜센터 근무자 모집(주휴포함)",서울,강남구,시급,10308,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97360734
호텔신라,"[시급10,308원] 신라호텔 설특판 콜센터 근무자 모집(주휴포함)",서울,용산구,시급,10308,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97360733
호텔신라,"[시급10,308원] 신라호텔 설특판 콜센터 근무자 모집(주휴포함)",서울,종로구,시급,10308,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97360732
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",경북,구미시,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97438911
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",서울,동작구,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97438906
호텔신라,"[시급11,000원]신라호텔 배송도우미 모집(주휴포함)",서울,송파구,시급,11000,08:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97360652
호텔신라,"[시급11,000원]신라호텔 배송도우미 모집(주휴포함)",경기,성남시,시급,11000,08:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97360650
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,관악구,건별,1300000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97431678
대경씨지,"단기 아르바이트 긴급 추가 모집(대학생,주부 가능)",경북,경산시,시급,8350,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97433992
호텔신라,"[시급10,500원] 업무보조(물류장 상품확인검수,포장 등 지원업무)",경기,하남시,시급,10500,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97344717
호텔신라,"[시급10,500원] 업무보조(물류장 상품확인검수,포장 등 지원업무)",서울,송파구,시급,10500,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97360139
호텔신라,"[시급10,500원] 업무보조(물류장 상품확인검수,포장 등 지원업무)",경기,성남시,시급,10500,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97360140
호텔신라,"[시급10,500원] 업무보조(물류장 상품확인검수,포장 등 지원업무)",경기,성남시,시급,10500,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97360143
호텔신라,"[시급10,308원] 신라호텔 설특판 콜센터 근무자 모집(주휴포함)",서울,중구,시급,10308,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97344461
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,경기,안양시,건별,1360000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97431680
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,강남구,건별,1300000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97431673
[안성쿠팡 E팀],안성쿠팡 E팀 [바로출근][주말] 꿀알바/초보/단순업무/단기/장기/지게차,경기,안산시,일급,86093,16:30~01:30,http://www.alba.co.kr/job/Detail.asp?adid=97431315
위드엔지니어링,"(급구 단기,장기)르노삼성자동차 부산공장 사내협력 주간 고정",부산,강서구,시급,8500,08:00~19:00,http://www.alba.co.kr/job/Detail.asp?adid=97439193
우성디자인,벡스코행사설치보조인원모집,부산,해운대구,일급,80000,08:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97444084
원앙의료기(주),단기알바구함,강원,원주시,시급,8500,08:30~18:30,http://www.alba.co.kr/job/Detail.asp?adid=97415090
호텔신라,"[시급10,500원] 업무보조(물류장 상품확인검수,포장 등 지원업무)",경기,성남시,시급,10500,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97360141
오브제이,"뷰티, 패션 관련 DB입력 및 설문조사 (10분내외로 소요)",서울,전체,건별,10000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97441222
